time,gold,towers,kills,blue_team,red_team,kda_top,kda_jungle,kda_mid,kda_adc,kda_supp,minions_top,minions_jungle,minions_mid,minions_adc,minions_supp,hextech_dragon,infernal_dragon,mountain_dragon,ocean_dragon,wind_dragon,baron,elder,herald,champion_red_top,champion_red_jungle,champion_red_mid,champion_red_adc,champion_red_supp,champion_blue_top,champion_blue_jungle,champion_blue_mid,champion_blue_adc,champion_blue_supp
00:02:07,400.0,0.0,1.0,Misfits Gaming,Team BDS,0.0,,0.0,1.0,1.0,1.0,-2.0,0.0,-1.0,0.0,0,0,0,0,0,1,1,0,Gangplank,Volibear,Syndra,Ezreal,Tahm Kench,Ornn,Wukong,Twisted Fate,Xayah,Nautilus
00:03:38,1200.0,0.0,1.0,Excel Esports,Team BDS,1.0,,1.0,0.0,,6.0,7.0,14.0,-8.0,1.0,0,0,0,0,0,0,1,0,Sylas,Camille,Orianna,Ezreal,Tahm Kench,Sion,Wukong,Akali,Lucian,Nami
00:04:07,5470.0,0.0,0.0,Astralis,Excel Esports,0.0,0.0,0.0,0.0,0.0,-6.0,-5.0,-4.0,5.0,,0,0,0,0,0,1,1,0,Gnar,Udyr,Lissandra,Kalista,Shen,Ornn,Wukong,Orianna,Ashe,Renata Glasc
00:06:36,-800.0,0.0,-2.0,SK Gaming,Excel Esports,,,,,,,,,,,0,0,0,0,0,1,1,0,Ornn,Volibear,Sylas,Zeri,Janna,Sylas,Ivern,Sylas,Kalista,Tahm Kench
00:03:57,5500.0,0.0,0.0,SK Gaming,,0.0,0.0,0.0,0.0,0.0,6.0,-21.0,-4.0,-10.0,3.0,0,0,0,0,0,1,1,0,Sett,Ivern,Sylas,Aphelios,Amumu,Gnar,Ivern,Azir,Zeri,Tahm Kench
00:33:34,-2800.0,0.0,-2.0,G2 Esports,,-0.8666666666666669,-4.25,-2.6,-1.5,0.5,11.0,3.0,5.0,-52.0,1.0,0,0,0,0,0,-1,1,0,Sett,Udyr,Lissandra,Ezreal,Maokai,Ornn,Lillia,Swain,Lucian,Amumu
00:02:56,-2000.0,0.0,-1.0,Astralis,Team BDS,1.0,,0.0,-1.0,,7.0,2.0,5.0,5.0,-1.0,0,0,0,0,0,1,1,0,Gwen,Volibear,Sylas,MissFortune,Amumu,Ornn,Viego,Viktor,Zeri,Tahm Kench
00:05:10,-9800.0,0.0,1.0,SK Gaming,Astralis,-1.0,,1.0,1.0,1.0,-6.0,7.0,-7.0,3.0,,0,0,0,0,0,1,1,0,Gangplank,Viego,Orianna,Jinx,Tahm Kench,Gwen,Karthus,Katarina,Aphelios,Tahm Kench
00:06:44,1900.0,0.0,1.0,Misfits Gaming,SK Gaming,,,0.0,0.0,3.0,-7.0,7.0,6.0,59.0,5.0,0,-1,0,0,0,0,1,0,Gnar,Ivern,Sylas,Zeri,Renata Glasc,Shyvana,Ivern,Akali,Sivir,Leona
00:03:33,-14700.0,0.0,2.0,Misfits Gaming,Astralis,2.0,,17.0,1.0,0.0,,-11.0,5.0,-80.0,-2.0,0,0,0,0,0,1,1,1,Ornn,Viego,Orianna,Draven,Pyke,Sylas,Lillia,Twisted Fate,Sivir,Zyra
00:02:27,-1000.0,0.0,-1.0,Astralis,Team Vitality,0.0,-1.0,-1.0,0.0,-1.0,-13.0,10.0,-15.0,-4.0,-10.0,0,0,0,0,0,1,1,0,Gnar,Ivern,Orianna,Zeri,Rakan,Ornn,Trundle,Sylas,Xayah,Tahm Kench
00:19:56,-3800.0,-3.0,-3.0,Team BDS,Misfits Gaming,,,,,-3.0,-18.0,0.0,-15.0,-21.0,-6.0,0,0,0,0,0,1,1,0,Sylas,Jax,Sylas,Sivir,Alistar,Ornn,Lillia,Sylas,Xayah,Tahm Kench
00:19:10,2000.0,0.0,-2.0,Rogue,Team BDS,-16.0,-2.5,,-3.0,-2.0,1.0,,6.0,43.0,-3.0,0,0,0,0,0,1,1,0,Akali,Ivern,Zoe,Sivir,Amumu,Gwen,Trundle,Sylas,Kalista,Alistar
00:07:43,-6700.0,0.0,2.0,,Astralis,1.0,2.0,1.0,2.0,2.0,-17.0,-21.0,5.0,1.0,5.0,0,0,0,0,0,1,1,0,Poppy,Viego,Sylas,Ezreal,Maokai,Ornn,Trundle,Azir,Zeri,Tahm Kench
00:07:34,-6000.0,0.0,0.0,SK Gaming,Astralis,0.0,0.1,0.0,10.0,0.0,-19.0,-6.0,64.0,63.0,-1.0,0,0,0,0,0,1,1,0,Gangplank,Taliyah,Orianna,Xayah,Rakan,Pantheon,Trundle,Twisted Fate,Jinx,Tahm Kench
00:02:57,5000.0,0.0,1.0,Misfits Gaming,,0.0,,0.0,1.0,1.0,-4.0,-34.0,-1.0,10.0,,0,0,0,0,0,1,1,0,Gangplank,Volibear,Syndra,Ezreal,Maokai,Ornn,Wukong,Twisted Fate,Xayah,Nautilus
00:04:28,-4900.0,0.0,1.0,Excel Esports,Team BDS,1.0,,1.0,0.0,,9.0,3.0,-19.0,-17.0,0.0,0,0,0,0,0,0,1,0,Sylas,Camille,Orianna,Ezreal,Tahm Kench,Sion,Wukong,Akali,Lucian,Nami
00:04:57,0.0,0.0,0.0,Astralis,Excel Esports,0.0,0.0,0.0,0.0,0.0,-11.0,0.0,-9.0,9.0,1.0,0,0,0,0,0,1,1,0,Gnar,Udyr,Lissandra,Kalista,Shen,Ornn,Wukong,Orianna,Ashe,Renata Glasc
